Getting Data Stream Seconds; Getting Data Stream Milliseconds;Send Data Stream Seconds;Send Data Stream Milliseconds;Difference Stream;
1468115004;894;1468115004;908;13;
1468115004;934;1468115004;948;14;
1468115004;975;1468115004;988;13;
1468115005;14;1468115005;28;14;
1468115005;54;1468115005;68;13;
1468115005;94;1468115005;108;13;
1468115005;134;1468115005;148;13;
1468115005;174;1468115005;188;13;
1468115005;214;1468115005;228;14;
1468115005;254;1468115005;268;13;
1468115005;294;1468115005;308;13;
1468115005;334;1468115005;348;13;
1468115005;374;1468115005;388;13;
1468115005;414;1468115005;428;13;
1468115005;454;1468115005;468;13;
1468115005;494;1468115005;508;13;
1468115005;534;1468115005;548;13;
1468115005;574;1468115005;588;13;
1468115005;614;1468115005;628;14;
1468115005;654;1468115005;668;13;
1468115005;694;1468115005;708;13;
1468115005;734;1468115005;748;13;
1468115005;774;1468115005;788;13;
1468115005;814;1468115005;828;14;
1468115005;854;1468115005;868;13;
1468115005;894;1468115005;908;13;
1468115005;934;1468115005;948;13;
1468115005;974;1468115005;988;13;
1468115006;14;1468115006;28;14;
1468115006;54;1468115006;68;13;
1468115006;94;1468115006;108;13;
1468115006;134;1468115006;148;13;
1468115006;174;1468115006;188;13;
1468115006;214;1468115006;228;14;
1468115006;254;1468115006;268;13;
1468115006;294;1468115006;308;13;
1468115006;334;1468115006;348;13;
1468115006;374;1468115006;388;13;
1468115006;414;1468115006;428;14;
1468115006;454;1468115006;468;13;
1468115006;494;1468115006;508;13;
1468115006;534;1468115006;548;13;
1468115006;574;1468115006;588;13;
1468115006;614;1468115006;628;14;
1468115006;654;1468115006;668;13;
1468115006;694;1468115006;708;13;
1468115006;734;1468115006;748;13;
1468115006;774;1468115006;788;13;
1468115006;814;1468115006;828;13;
1468115006;854;1468115006;868;13;
1468115006;894;1468115006;909;14;
1468115006;935;1468115006;949;14;
1468115006;975;1468115006;989;13;
1468115007;15;1468115007;28;13;
1468115007;54;1468115007;69;14;
1468115007;95;1468115007;108;13;
1468115007;134;1468115007;148;13;
1468115007;174;1468115007;189;14;
1468115007;215;1468115007;228;13;
1468115007;254;1468115007;269;14;
1468115007;295;1468115007;309;13;
1468115007;335;1468115007;348;13;
1468115007;374;1468115007;388;13;
1468115007;414;1468115007;428;14;
1468115007;454;1468115007;469;14;
1468115007;495;1468115007;509;13;
1468115007;535;1468115007;548;13;
1468115007;574;1468115007;588;13;
1468115007;614;1468115007;628;14;
1468115007;654;1468115007;669;14;
1468115007;695;1468115007;709;13;
1468115007;735;1468115007;748;13;
1468115007;774;1468115007;788;13;
1468115007;814;1468115007;828;14;
1468115007;854;1468115007;869;14;
1468115007;895;1468115007;909;13;
1468115007;935;1468115007;948;13;
1468115007;974;1468115007;988;13;
1468115008;15;1468115008;28;13;
1468115008;54;1468115008;69;14;
1468115008;95;1468115008;109;13;
1468115008;135;1468115008;148;13;
1468115008;174;1468115008;188;13;
1468115008;214;1468115008;228;13;
1468115008;254;1468115008;269;14;
1468115008;295;1468115008;308;13;
1468115008;334;1468115008;348;13;
1468115008;374;1468115008;388;13;
1468115008;414;1468115008;428;14;
1468115008;454;1468115008;469;14;
1468115008;495;1468115008;509;13;
1468115008;535;1468115008;548;13;
1468115008;574;1468115008;588;13;
1468115008;614;1468115008;628;13;
1468115008;654;1468115008;669;14;
1468115008;695;1468115008;709;13;
1468115008;735;1468115008;748;13;
1468115008;774;1468115008;788;13;
1468115008;814;1468115008;828;14;
1468115008;854;1468115008;869;14;
1468115008;895;1468115008;909;13;
1468115008;935;1468115008;948;13;
1468115008;975;1468115008;989;14;
1468115009;15;1468115009;28;13;
1468115009;54;1468115009;69;14;
1468115009;95;1468115009;109;13;
1468115009;135;1468115009;148;13;
1468115009;174;1468115009;188;13;
1468115009;214;1468115009;228;14;
1468115009;254;1468115009;269;14;
1468115009;295;1468115009;309;13;
1468115009;335;1468115009;348;13;
1468115009;374;1468115009;388;13;
1468115009;414;1468115009;428;14;
1468115009;454;1468115009;469;14;
1468115009;495;1468115009;509;13;
1468115009;535;1468115009;548;13;
1468115009;574;1468115009;588;13;
1468115009;614;1468115009;628;14;
1468115009;654;1468115009;669;14;
1468115009;695;1468115009;709;13;
1468115009;735;1468115009;748;13;
1468115009;774;1468115009;788;13;
1468115009;814;1468115009;828;14;
1468115009;854;1468115009;869;14;
1468115009;895;1468115009;908;13;
1468115009;934;1468115009;948;13;
1468115009;974;1468115009;988;13;
1468115010;14;1468115010;28;14;
1468115010;54;1468115010;69;14;
1468115010;95;1468115010;109;13;
1468115010;135;1468115010;148;13;
1468115010;174;1468115010;188;13;
1468115010;214;1468115010;228;14;
1468115010;254;1468115010;269;14;
1468115010;295;1468115010;309;13;
1468115010;335;1468115010;348;13;
1468115010;374;1468115010;388;13;
1468115010;414;1468115010;428;14;
1468115010;454;1468115010;469;14;
1468115010;495;1468115010;509;13;
1468115010;535;1468115010;548;13;
1468115010;574;1468115010;588;13;
1468115010;614;1468115010;628;14;
1468115010;654;1468115010;669;14;
1468115010;695;1468115010;709;13;
1468115010;735;1468115010;748;13;
1468115010;774;1468115010;788;13;
1468115010;814;1468115010;828;13;
1468115010;854;1468115010;869;14;
1468115010;895;1468115010;909;13;
1468115010;935;1468115010;949;13;
1468115010;975;1468115010;988;13;
1468115011;14;1468115011;28;14;
1468115011;54;1468115011;69;14;
1468115011;95;1468115011;109;13;
1468115011;135;1468115011;148;13;
1468115011;174;1468115011;188;13;
1468115011;214;1468115011;228;13;
1468115011;254;1468115011;269;14;
1468115011;295;1468115011;308;13;
1468115011;334;1468115011;348;13;
1468115011;374;1468115011;388;13;
1468115011;414;1468115011;428;14;
1468115011;454;1468115011;469;14;
1468115011;495;1468115011;509;13;
1468115011;535;1468115011;548;13;
1468115011;574;1468115011;588;13;
1468115011;614;1468115011;628;14;
1468115011;654;1468115011;669;14;
1468115011;695;1468115011;709;13;
1468115011;735;1468115011;748;13;
1468115011;774;1468115011;788;13;
1468115011;814;1468115011;828;14;
1468115011;854;1468115011;869;14;
1468115011;895;1468115011;909;13;
1468115011;935;1468115011;948;13;
1468115011;974;1468115011;989;14;
1468115012;15;1468115012;28;13;
1468115012;54;1468115012;69;14;
1468115012;95;1468115012;109;13;
1468115012;135;1468115012;148;13;
1468115012;174;1468115012;187;12;
1468115012;213;1468115012;228;15;
1468115012;254;1468115012;269;14;
1468115012;295;1468115012;308;13;
1468115012;334;1468115012;348;13;
1468115012;374;1468115012;388;13;
1468115012;414;1468115012;428;14;
1468115012;454;1468115012;468;13;
1468115012;494;1468115012;508;13;
1468115012;534;1468115012;548;13;
1468115012;574;1468115012;597;23;
1468115012;624;1468115012;638;14;
1468115012;664;1468115012;678;14;
1468115012;704;1468115012;719;14;
1468115012;745;1468115012;758;13;
1468115012;784;1468115012;798;13;
1468115012;824;1468115012;838;13;
1468115012;865;1468115012;878;13;
1468115012;904;1468115012;918;13;
1468115012;944;1468115012;958;13;
1468115012;984;1468115012;998;13;
1468115013;24;1468115013;38;13;
1468115013;64;1468115013;78;14;
1468115013;104;1468115013;119;14;
1468115013;145;1468115013;158;13;
1468115013;184;1468115013;198;13;
1468115013;224;1468115013;238;13;
1468115013;264;1468115013;278;13;
1468115013;304;1468115013;319;14;
1468115013;345;1468115013;358;13;
1468115013;384;1468115013;398;13;
1468115013;424;1468115013;438;13;
1468115013;464;1468115013;478;14;
1468115013;504;1468115013;518;13;
1468115013;544;1468115013;558;13;
1468115013;584;1468115013;598;13;
1468115013;624;1468115013;638;13;
1468115013;664;1468115013;678;13;
1468115013;704;1468115013;718;13;
1468115013;744;1468115013;758;13;
1468115013;784;1468115013;798;13;
1468115013;824;1468115013;838;13;
1468115013;864;1468115013;878;14;
1468115013;904;1468115013;918;13;
1468115013;944;1468115013;968;23;
1468115013;994;1468115014;8;14;
1468115014;34;1468115014;48;13;
1468115014;74;1468115014;88;13;
1468115014;114;1468115014;128;14;
1468115014;154;1468115014;168;13;
1468115014;194;1468115014;208;13;
1468115014;234;1468115014;248;13;
1468115014;274;1468115014;288;13;
1468115014;314;1468115014;328;14;
1468115014;354;1468115014;368;13;
1468115014;394;1468115014;408;13;
1468115014;434;1468115014;448;13;
1468115014;474;1468115014;488;13;
1468115014;514;1468115014;528;13;
1468115014;554;1468115014;568;13;
1468115014;594;1468115014;609;14;
1468115014;635;1468115014;648;13;
1468115014;674;1468115014;688;13;
1468115014;714;1468115014;728;14;
1468115014;754;1468115014;768;13;
1468115014;794;1468115014;808;13;
1468115014;834;1468115014;848;13;
1468115014;874;1468115014;888;13;
1468115014;914;1468115014;928;14;
1468115014;954;1468115014;969;14;
1468115014;995;1468115015;8;14;
1468115015;34;1468115015;48;13;
1468115015;74;1468115015;88;13;
1468115015;114;1468115015;128;14;
1468115015;154;1468115015;168;13;
1468115015;194;1468115015;208;13;
1468115015;234;1468115015;248;13;
1468115015;274;1468115015;288;13;
